Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /whatif [autofill warm],325656,0,13,12.765557441907406,0.6404169980669394,1236.4805830002297,3563.000015353625,3657.571568060477,0.0,13,13,14,14,15,15,16,18,140,230,1200
,Aggregated,325656,0,13,12.765557441907406,0.6404169980669394,1236.4805830002297,3563.000015353625,3657.571568060477,0.0,13,13,14,14,15,15,16,18,140,230,1200
