Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate [warm],12156,0,440,469.3208367247808,20.755167002789676,10666.454124962911,279536.0024679171,102.00468254802506,0.0,440,460,480,490,550,660,730,800,7500,8300,11000
,Aggregated,12156,0,440,469.3208367247808,20.755167002789676,10666.454124962911,279536.0024679171,102.00468254802506,0.0,440,460,480,490,550,660,730,800,7500,8300,11000
