Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /whatif [autofill cold],1287,0,600,674.4456943863548,288.1092909956351,8836.130958996364,3382.2253302253303,14.429683236562626,0.0,600,670,710,750,900,1100,1700,2400,4500,8800,8800
,Aggregated,1287,0,600,674.4456943863548,288.1092909956351,8836.130958996364,3382.2253302253303,14.429683236562626,0.0,600,670,710,750,900,1100,1700,2400,4500,8800,8800
