Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /whatif [locked cold],1499,0,540,581.4178172956409,213.23983400361612,5271.505708005861,3262.1921280853903,16.74956975684183,0.0,540,600,650,680,770,880,1400,2000,4800,5300,5300
,Aggregated,1499,0,540,581.4178172956409,213.23983400361612,5271.505708005861,3262.1921280853903,16.74956975684183,0.0,540,600,650,680,770,880,1400,2000,4800,5300,5300
