Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /whatif [locked warm],3954,0,1000,1058.416726354661,421.68029099411797,7841.083874998731,3790.0,44.230233709501114,0.0,1000,1100,1200,1200,1400,1500,1800,2200,6100,7800,7800
,Aggregated,3954,0,1000,1058.416726354661,421.68029099411797,7841.083874998731,3790.0,44.230233709501114,0.0,1000,1100,1200,1200,1400,1500,1800,2200,6100,7800,7800
