course_id,difficulty_score,confidence,difficulty_score_raw
ACENG201,9.603861003861004,medium,8.595920073274105
ACENG202,8.623938223938225,medium,7.407209497579154
ACENG20A,7.037065637065637,medium,6.295155363928375
ACENG20B,3.8285714285714283,medium,4.814100981246586
ACENG20C,5.424710424710424,medium,5.578594142376559
ACENG20D,8.948262548262548,medium,7.704389846973629
ACENG211,1.7054054054054055,medium,2.878134186401393
ACENG22A,6.7023166023166025,medium,6.076777385722744
ACENG22B,2.272972972972973,low,3.5942704480367578
ACENG23A,8.270656370656372,medium,7.024318322682504
ACENG23B,4.071814671814671,medium,4.988202188228177
ACENG23C,4.559459459459459,medium,5.282323156950361
ACENG24,1.6393822393822393,medium,2.76469906350026
ACENG29,7.331274131274132,medium,6.494412714077356
AFAM111A,7.1123552123552125,medium,6.346585897583253
AFAM111B,6.377992277992278,medium,5.902763956423547
AFAM112A,5.685328185328185,medium,5.648901148113453
AFAM112B,4.291891891891892,high,5.1252724328325945
AFAM113,2.2173745173745174,high,3.5380396956494793
AFAM114,3.1486486486486487,medium,4.328238401396542
AFAM115,4.452895752895753,high,5.228254452474803
AFAM116,6.541312741312741,low,5.993006029225756
AFAM117,2.955212355212355,medium,4.277792724842846
AFAM118,2.81969111969112,high,4.239250198733119
AFAM125,4.675289575289575,medium,5.33196002851208
AFAM128,1.7806949806949808,high,2.986952721517932
AFAM134A,3.1944015444015443,medium,4.345521413031805
AFAM134B,3.3333976833976835,medium,4.432854720613625
AFAM137,9.326447876447876,medium,8.13817517687366
AFAM138,5.032046332046332,high,5.4650337311608554
AFAM142,1.5779922779922781,low,2.6692482652506007
AFAM143,1.5976833976833977,high,2.6876110758676592
AFAM144,3.46023166023166,high,4.533044633188142
AFAM145,4.316216216216216,medium,5.144923882783708
AFAM146,1.657915057915058,low,2.7978529680012665
AFAM151,8.61988416988417,low,7.406493163209785
AFAM152,4.101930501930502,high,5.010032932783647
AFAM153,8.283976833976833,medium,7.032517025520197
AFAM154,4.296525096525096,high,5.130770496173672
AFAM155,8.593822393822393,high,7.385216481679383
AFAM156,9.241312741312742,high,8.046791421585164
AFAM157,1.344015444015444,medium,2.259201138667182
AFAM158,3.2656370656370655,high,4.388346414020738
AFAM159,5.532432432432432,high,5.611713794968518
AFAM162W,3.2911196911196914,high,4.407343207444864
AFAM163,3.2864864864864867,medium,4.403708932682226
AFAM198,1.233976833976834,medium,1.93731366814736
AFAM199,3.5204633204633207,medium,4.579370244193722
AFAM399,4.447104247104247,medium,5.226904983812608
AFAM40A,4.421621621621622,high,5.20929400582185
AFAM40B,3.4127413127413124,high,4.495721831286303
AFAM40C,8.383011583011584,high,7.13328095312275
AFAM50,3.4034749034749034,medium,4.487239280171433
ANATOMY200,1.0706563706563708,medium,1.2160350980783676
ANATOMY200R,1.6857142857142857,medium,2.84806131891978
ANATOMY201,8.547490347490347,low,7.325969649456457
ANATOMY202B,9.113899613899614,low,7.883977635259472
ANATOMY203A,9.717953667953667,low,8.776557493289642
ANATOMY203B,9.717953667953667,low,8.776557493289642
ANATOMY206B,9.72895752895753,low,8.797852968001266
ANATOMY206C,8.121235521235523,low,6.840333003493724
ANATOMY210A,9.03050193050193,medium,7.807205380102993
ANATOMY210B,9.333976833976834,medium,8.155238037242256
ANATOMY215,9.836679536679537,low,8.98402200083179
ANATOMY227A,3.1752895752895753,medium,4.340672377945019
